Code,Name,LHD/RHD,Brand,Year,Photo,Release
,Honda Civic Type R (FK8) Championship White,LHD,Honda,January2018,Credit: Marvin Sabangan /Nurnberg Spielzeugmesse Limited to 100 pcs,
,Honda Civic Type R (FK8) Championship White,RHD,Honda,November2018,Indonesia Diecast Expo Limited to 15 pcs,
19OEM04,Honda Civic Type R - Team Liquid,LHD,Honda,2019,OEM,
MGT00001,Honda Civic Type R (FK8) Championship White,LHD/RHD,Honda,2018,,
MGT00002,Honda Civic Type R (FK8) Aegean Blue Metallic,LHD/RHD,Honda,2018,,
MGT00003,"LB★WORKS Nissan GT-R (R35) Matte Grey Type 1, Rear Wing ver 1",LHD/RHD,LB Works,2018,,
MGT00004,"LB★WORKS Nissan GT-R (R35) Light Blue Type 1, Rear Wing ver 2",LHD/RHD,LB Works,2018,,
MGT00005,"LB★WORKS Nissan GT-R (R35) Black w/ Copper Wheel Type 1, Rear Wing ver 1+2",LHD/RHD,LB Works,2020,,
MGT00006,"LB★WORKS Nissan GT-R (R35) Zero Fighter Special Type 1, Rear Wing ver 2",RHD,LB Works,2018,Hong Kong Exclusive,
MGT00007,"LB★WORKS Nissan GT-R (R35) Zero Fighter Special Type 1, Rear Wing ver 1",RHD,LB Works,2018,Hong Kong Exclusive,
MGT00008,Honda Civic Type R (FK8) Phoenix Yellow,LHD,Honda,2019,Mijo / USA Exclusive,
MGT00009,"LB★WORKS Nissan GT-R (R35) Matte White Type 1, Rear Wing Ver 1",LHD/RHD,LB Works,2019,,
MGT00010,Honda Civic Type R (FK8) Championship White Modulo Edition,LHD/RHD,Honda,2019,,
MGT00011,Honda Civic Type R (FK8) Crystal Black Modulo Edition,RHD,Honda,2019,Malaysia Exclusive,
MGT00012,Honda Civic Type R (FK8) Rallye Red,LHD/RHD,Honda,2019,,
MGT00013,McLaren Senna Victory Grey,LHD/RHD,McLaren,2018,,
MGT00014,Toyota Supra (JZA80) Super White,LHD/RHD,Toyota,2019,,
MGT00015,Honda Civic Type R (FK8) Crystal Black,LHD/RHD,Honda,2019,,
MGT00016,Honda NSX GT3 #84 2017 Macau GP Honda Racing,LHD,Honda,2019,Hong Kong Exclusive,
MGT00017,Honda Civic Type R (FK8) Aegean Blue Modulo Edition,LHD/RHD,Honda,2019,,
MGT00018,McLaren Senna Mira Orange,LHD/RHD,McLaren,2019,,
MGT00019,McLaren Senna White,RHD,McLaren,2019,Hong Kong Exclusive / Hong Kong ToySoul Show,
MGT00020,McLaren Senna Onyx Black,LHD/RHD,McLaren,2019,,
MGT00021,Honda  Civic Type R (FK8) Rallye Red Modulo Edition,RHD,Honda,2019,Indonesia Exclusive /Chase,
MGT00022,Honda Civic Type R (FK8) ADAC TCR Germany Safety Car,LHD,Honda,2019,Indonesia Exclusive /Chase,
MGT00023,"Honda Civic Type R (FK8) ""Customer Racing Study""",LHD,Honda,2019,,
MGT00024,"Honda Civic Type R (FK8) ""Time Attack 2018""",LHD,Honda,2019,,
MGT00025,Honda NSX GT3 Presentation,LHD,Honda,2019,,
MGT00026,Acura NSX GT3 Los Angeles Auto Show 2017,LHD,Honda,2019,,
MGT00027,NSX GT3 2019 MINI GT Gift Car,LHD,Honda,2019,2019 Gift Car /Blister Package1200pcs,
MGT00028,Honda Civic Type R (FK8) Slate Grey w/ TE37 Wheel,LHD,Honda,2019,Taiwan Exclusvie,
MGT00029,"LB★WORKS Nissan GT-R (R35) AEON Type 1, Rear Wing ver 1",RHD,LB Works,2019,Hong Kong Exclusive,
MGT00030,"LB★WORKS Nissan GT-R (R35) Satin Gold Type 1, Rear Wing ver 2",LHD,LB Works,2019,Mijo / USA Exclusive,
MGT00031,"LB★WORKS Nissan GT-R (R35) Matte Black Type 1, Rear Wing ver 1",LHD,LB Works,2019,Mijo / USA Exclusive,
MGT00032,"LB★WORKS Nissan GT-R (R35) Magic Bronze Type 1, Rear Wing ver 2",RHD,LB Works,2019,Hong Kong Exclusive,
MGT00033,"LB★WORKS Nissan GT-R (R35) Magic Bronze Type 1, Rear Wing ver 1",RHD,LB Works,2019,Hong Kong Exclusive,
MGT00034,"LB★WORKS Nissan GT-R (R35) Candy Blue Type 1, Rear Wing ver 1",LHD,LB Works,2019,Mijo / USA Exclusive,
MGT00035,"LB★WORKS Nissan GT-R (R35) Magic Grey Type 1, Rear Wing ver 2",LHD,LB Works,2019,China Exclusive,
MGT00036,Honda NSX GT3 Tokyo Auto Salon 2018,LHD,Honda,2019,Japan Exclusive,
MGT00037,Honda Civic Type R (FK8) ArtCar Manga - 2018 Paris Autoshow,LHD,Honda,2019,,
MGT00038,Pagani Huayra Roadster Blue Francia,LHD/RHD,Pagani,2019,,
MGT00039,"LB★WORKS Nissan GT-R (R35) Magic Purple Type 1, Rear Wing ver 2",RHD,LB Works,2019,Japan Exclusive,
MGT00040,"LB★WORKS Nissan GT-R (R35) Satin Gold w/ Carbon Type 1, Rear Wing ver 2",RHD,LB Works,2019,Japan Exclusive / 2019 Shizuoka Hobby Show,
MGT00041,BMW M3 (E30) Alpine White,LHD/RHD,BMW,2019,,
MGT00042,,,,,File:MGT00042.jpg,
MGT00043,BMW M3 Henna Red,LHD/RHD,BMW,2020,,
MGT00044,,,,,File:MGT00044.jpg,
MGT00045,Toyota Supra (JZA80) Black,LHD/RHD,Toyota,2020,,
MGT00046,Toyota Supra (JZA80) Renaissance Red,LHD/RHD,Toyota,2019,,
MGT00047,Acura NSX GT3 NY Autoshow 2016,LHD,Acura,2019,Mijo / USA Exclusive,
MGT00048,Acura NSX GT3 Gulf Racing,LHD,Acura,2019,Mijo / USA Exclusive,
MGT00049,"LB★WORKS Nissan GT-R (R35) Satin Silver Type 1, Rear Wing Version 2",LHD/RHD,LB Works,2019,,
MGT00050,Pagani Huayra Roadster Rosso Monza,LHD/RHD,Pagani,2019,,
MGT00051,Honda NSX GT3 #30 2018 24 Hours of Spa,LHD,Honda,2019,,
MGT00052,"Acura NSX GT3 #86 ""Uncle Sam"" 2017 IMSA Watkins Glen",LHD,Acura,2019,,
MGT00053,Pagani Huayra Roadster White w/ Carbon Red Stripe,RHD,Pagani,2019,Hong Kong Exclusive,
MGT00054,"LB★WORKS Nissan GT-R (R35) ""WearItPink"" Breast Cancer Awareness Type 1, Rear Wing ver 1",RHD,LB Works,2019,Malaysia Exclusive,
MGT00055,BMW M3 (E30) #6 Watson's Team Schnitzer 1991 Guia Race of Macau / Winner,LHD,BMW,2019,Hong Kong Exclusive,
MGT00056,BMW M3 (E30) #42 1991 Deutsche Tourenwagen Meisterschaft,LHD,BMW,2019,Hong Kong Exclusive,
